texto,sentimento
só levei um susto com o prazo inicial de mais de dias mas chegou em bem menos tempo,positivo
muito satisfeito entrega super rápido excelente atendimento empresa comprometida com à satisfação do seu cliente,positivo
meu produto foi entregue incompleto eu comprei dois shampoos e só recebi um,negativo
fiz o pedido de produtos e foram entregue apenas parte deles,negativo
recebi o produto no prazo combinado e de ótima qualidade recomendo a todos,positivo
não recebi nenhuma satisfação nem havia acompanhamento já passou o prazo e nada até agora,negativo
boa tarde o produto que comprei não chegou chegou somente a nota fiscal pelo correio absurdo minha sobrinha recebeu dos correios um envelope endereçado a mim quando abri só tinha a nota fiscal,negativo
o cartão de memória não funciona no celular ele aparece como corrompido e no computador ele nem é reconhecido,negativo
produto entregue antes do prazo,positivo
nem acreditei quando conferi o produto chegou muito rápido,positivo
não recebí o produto e mesmo tendo comunicado ao baratheon o que ocorreu me recomendaram aguardar dias que a loja me contataria e isso não aconteceu exijo uma solução imediata,negativo
não obtive nenhuma resposta do site em relação ao atraso da entrega do produto,negativo
leva um tempo excessivo para enntregar um produto tão pequeno a compra é do dia e até hoje não recebi a capa do celular um absurdo,negativo
fiz o pedido de um violão acessórios e recebi uma bateria passei horas tentando contato com a loja para que a troca fosse feita mas nenhuma resposta não recomendo,negativo
ótima qualidade chegou antes do prazo,positivo
produto preencheu as expectativas,positivo
recebido dentro do prazo em perfeitas condições,positivo
o acabamento deixa a desejar tintura com vários pontos estourados metal muito fino,neutro
produto de qualidade adequado ao uso foi postado rapidamente recomendo o produto e a loja,positivo
loja excelente cumpre o prazo,positivo
a entrega foi feita na casa de uma vizinha e o correio nao avisou,neutro
as crianças adoraram,positivo
tudo certo com o produto e a entrega recomendo,positivo
produto entregue em dias uteis bonita e de material resistente,positivo
o produto responde as necessidades,positivo
chegou antes do prazo produto de ótima qualidade,positivo
chegou antes do prazo,positivo
o produto chegou perfeito e na data correta,positivo
o squeese é de qualidade inferior pois permite vazamento de liquido entre a tampa e a garrafa seria melhor oferecer desconto no produto ao invés de disponibilizar esse artigo,neutro
so tenho que avaliar essa loja como otima,positivo
lindos produtos rápida entrega recomendo,positivo
muito bonita e sofisticada ainda não instalei mas gostei,positivo
o tapete em pouquíssimos dias de uso começou a soltar pelos e descosturar nas bordas,negativo
produto de muito boa qualidade e chegou antes do prazo o que é melhor ainda,positivo
película fica excelente,positivo
atendeu as expectativas,positivo
a manta é uma porcaria não vale nada é pior que as mantas do brás nunca comprei um produto tão ruim,negativo
o produto chegou no prazo e conforme produto de ótima qualidade,positivo
o edereco e outro,neutro
boa noite nao consegui colocar a bandeja no triple pois nao sei e nao veio manual como colocar e nao sei como instalar a bandeja no meio do triple peço um manual de nstalar grata ilsa duarte,neutro
há muito sou cliente de lannister com br e até o momento tudo transcorreu de forma tranquila,positivo
veio com uma lateral amassada sugiro trocar de transportadora infelizmente não fui eu quem recebi mas o produto parece de ótima qualidade foi uma excelente compra,positivo
super recomendo chegou bem antes do prazo e o produto de boa qualidade,positivo
muito bom recomendo,positivo
não recebi o produto comprado por falta de disponibilidade inclusive estou no aguardo no ressarcimento do valor pago que já foi solicitado através de depósito,neutro
a colcha é muito romântica devido ao fato do babado ser de voal transparente com detalhes em fios de cetim no mesmo o tecido do corpo da colcha é mais fino do que parece no site,positivo
o sac é uma porcaria,negativo
muito bom e lindo o produto,positivo
não está funcionando o produto,negativo
a única sugestão é enviar junto pés de borracha para encaixarem no mesmo tipo de furo que é utilizado em cima para não riscar o granito,positivo
já entrei no site e fiz minha reclamação pois infelizmente o produto foi mal embrulhado e a maquiagem veio quebrada e danificada gostaria de receber outro produto ou meu dinheiro de volta,negativo
o produto não foi entregue numa primeira tentativa provavelmente por falha dos correios após ter sido devolvido ao vendedor recebi a encomenda em dois dias após a ab araujo ter entrado em contato,positivo
excelente foi entregue antes do prazo o que me deixou muito satisfeita e a qualidade das placas me surpreendeu são ótimas,positivo
pantufa simples e muito confortável entrega rápida e eficiente,positivo
produto não condiz com o especificado no anuncio produto não original sendo que promete ser da matel hasbro,negativo
sou cliente há anos porém sempre há divergências e problemas na entrega consta como produto entregue porém foi entregue apenas produto aguardo solução,negativo
produto de qualidade,positivo
muito rápido a entrega recomendo,positivo
o produto chegou antes do prazo muito bom,positivo
recebi o produto mas quase um mês depois talvez seja pelo atraso dos correios,neutro
excelente empresa recomendo a todos o produto foi entregue antes do prazo,positivo
encomendei recebi e nota fiscal de unidades já reclamei com baratheon e ibitinga decora,neutro
esperava maior compressão,neutro
produto excelente atendeu minhas espectativas entrega antes do prazo,positivo
estou aguardando receber o produto,negativo
dentro das espectativas,positivo
ótimo produto recomendo,positivo
só achei o material não muito bom,positivo
produto melhor do que eu imagina perfeito otimo acabamento super recomendo a entrega entao foi muito rapida chegou muito antes do que o previsto,positivo
fiquei com dúvidas por causa dos comentários mas o produto chegou em ótimo estado na caixa,positivo
passei e mail solicitando suporte para fazer o produto funciona,neutro
entrega está atrasada e descobri que o produto não serve nas minhas portas comprei o mesmo produto de outro vendedor e na embalagem diz que é para portas com até cm de vão devolverei quando chegar,negativo
quadro muito mal produzido não encosta na parede pelo fato que no centro tem uma armação de madeira que esta mais para fora que a armação de madeira das bordas,negativo
produto de qualidade loja confiável e entrega super rápida recomendo,positivo
produtos entregues dentro do prazo e de boa qualidade,positivo
este número do pedido foi cancelado,neutro
verdadeiro desrespeiro com o consumidor é inaceitavel empresas agirem desta forma só não devolverei devido a burocracia deste lamental país,negativo
eu que retirei no correio eu paguei o carreto e não me entregarão não gostei da atitude,negativo
e a segunda compra q realizo neste site e todos entregue dentro do prazo mesmo com a greve dos caminhoneiros parabéns a empresa,positivo
entrega antes do prazo satisfeitissimo,positivo
já passou dias e o produto não foi entregue,negativo
a entrega chegou antes do prazo e o produto é melhor que a descrição,positivo
tudo dentro dos conformes,positivo
fora dos padroes nacionais não cabe nenhum documento e poucos cartões,negativo
sempre o melhor atendimento e prazo de entrega,positivo
ótimo produto super recomendo,positivo
o produto chegou antes do prazo,positivo
fiquei contente pois gostei do produto chegou antes do previsto mas vieram eu comprei e paguei esta faltando os outros por favor gostaria de saber quando vão me enviar são lindos grata por e,neutro
produto como na foto mas veio com a bateria esgotada logo tive que levar para trocar e quando levei na joalheria o joalheiro me informou que o produto era falso então não sei,neutro
o que achei péssimo foi cobrar dois frete para duas unidades do mesmo produto vierem em caixas separadas o valor do frete foi um pouco a menos que o valor de uma unidade do produto absurdo,neutro
realizei a compra e antes de receber me informaram que o produto não seria entregue acho que por ser uma loja virtual não poderiam fazer isso agora não consigo resgatar o valor pago,negativo
não recebi então não posso opinar,negativo
muito bom o produto e me entregaram antes do prazo,positivo
quero uma resposta em relação a minha compra que ainda não recebi,negativo
pelo preço valeu muito a pena são lindas e bem eespaçosas,positivo
nao gostei do produto não é de boa qualidade muito fino a colcha,neutro
não realizarei mais nenhuma compra através deste vendedor,negativo
nome no controle não condiz com o comprado que é o pfc hd mas funciona tudo perfeitamente,positivo
produto na promoção veio com capa no fundo e fundo na capa tive que tirar o aspiral e colocar novamente,neutro
loja confiável estando dentro do prazo recomendo nota,positivo
sem outra questão correta transação,positivo
gostei recebi tudo certinho no prazo estipulado parabéns para loja,positivo
entrega antes do prazo produto exatamente como está na foto de qualidade recomendo,positivo
fiz a compra de conjuntos de cama somente o vendido pela shop time chegou,neutro
na foto o modelo é sh recebi um sh,negativo
entrega super rápida muito antes do previsto,positivo
dia de dezembro de o produto veio com uma das partes quebrada e outra mal confeccionada com um encaixe mal feito solicito a troca deste produto defeituoso por outro em perfeito estado,negativo
serviços bem executados,positivo
produto com material bom só as alças são moles nem parece que do mesmo material poderia ser mas firme,positivo
muito bom chegou tudo serto,positivo
produto conforme anunciado tudo ok,positivo
kd meu produto ja foi pago,negativo
entregue dentro do prazo,positivo
chegou no prazo esperado,positivo
exelente produto entrega eficiente,positivo
recebi antes do prazo previsto,positivo
recebi apenas um item desse pedido recebimento incompleto,negativo
meu pedido veio no prazo correto mais veio faltando e com defeito tanto que tenho ate fotos comprovando isso contei as peças e veio faltando mais de pçs ja reclamei e nao compro nunca mais,negativo
produto entregue antes do prazo previsto bem embalado estampa correta e em perfeito estado,positivo
produto bom qualidade recomendo,positivo
ainda não recebi um jogo de banheiro que comprei junto com a colcha de casal ate o momento foi entregue a colcha e jogo de banheiro nada estou aguardando uma solução,negativo
muito bom comprar nas lannister,positivo
e bom o produto,positivo
gostei muito de compra nessa loja recomendo com certa,positivo
ótimo preço eproduto,positivo
produto maravilhoso vendedor super rápido super indico,positivo
gostaria de receber ainda meu pedido fazia parte de um presente mesmo q fora da data ainda preciso entregá lo,negativo
serei cliente c frequência,neutro
ótimo produto atende as necessidades,positivo
o produto para carro pequeno,negativo
tudo certinho conforme divulgação o produto chega sem surpresas,positivo
não recebi o produto mas recebi o reembolso sem problemas,neutro
produto como solicitado,positivo
produto chegou em bom estado e a qualidade bem superior a algumas que jah comprei percebece que e bem mais resistente,positivo
recebemos somente o bebê conforto o carrinho não veio junto,neutro
ainda não usei mas dou estrelas porque não vieram os parafusos,neutro
não estou entendendo o motivo que não foi entregue não estou satisfeita espero que,negativo
tudo ok baratheon show de bola,positivo
o produto chegou antes do prazo e veio correto recomendo muito,positivo
estou esperando meu estorno a compra foi cancelada e não obtive nenhuma resposta é não recebi o estorno,negativo
so acho que deveria ser entregue todos juntos,neutro
recebi o produto errado cade o que comprei,negativo
pedido entregue incompleto,negativo
entrega rápida e ainda aguardando testar o produto,positivo
gostei foi enviado dentro do prazo,positivo
chegou rápido o produto vale a pena,positivo
chegou antes do prazo tudo ok,positivo
no computador ela parece maior para quem que uma carteira mais compacta vai gostar eu gostei mas achei que seria maior,positivo
recebi o produto dentro do prazo e gostei muito,positivo
produto excelente com entrega rápida chegou primeiro que o próprio celular,positivo
produto bom mas esperava que fosse melhor levando em conta a descrição do mesmo,neutro
gostei muito da rapidez,positivo
minha mercadoria veio errado como vcs vao resolver o meu problema,negativo
muito boa qualidade,positivo
show de bola chegou antes do prazo e o aparelho e otimo,positivo
o pedido foi entregue muito rápido veio muito bem protegido recomendo a loja,positivo
esgotado o prazo e ainda não recebi o produto nem sequer uma satisfação,negativo
a loja é ótima pena que usa os correios para entrega,positivo
primeira vez que comprei lente de contato pela stark e adorei pois comprava em um ótica e demorava a entrega muito bom,positivo
produto chegou perfeito entregue muito antes do prazo,positivo
gostei do produto o prazo foi exato e o preço muito bom comparei sempre,positivo
os produtos vendidos através do stark são muito bons e sempre de qualidade,positivo
não entregou nem entra contato,negativo
não recebi o produto,negativo
comprei kg de bicarbonato mas foram entregues somente pacotes de kg,negativo
foi bom obrigado,neutro
tudo certinho obrigada,positivo
cumpriu com excelência,negativo
fiquei indignado por que vendeu,positivo
puf veio com os parafusos soltos da tampa do bau,neutro
deu tudo certo,positivo
meu pedido ainda não foi entregue e ta com dois dias de atraso isso é um absurdo,negativo
recomendaria para todo mundo é muito bom o produto chega em dia tudo direitinho,positivo
o produto nas fotos parece ser um tecido grosso e quando abri é bem fininho fiquei um pouco chateada quanto a qualidade,neutro
unico problema e a demora,neutro
recomendo chega antes do prazo,positivo
chegou antes do esperado mesmo com a greve embalagem perfeita para presente e nem solicitei,positivo
ainda esta no prazo para entrega,negativo
o produto veio com partes erradas no caso as bolinhas do bingo não vieram completas,positivo
parabéns pelo respeito ao consumidor sempre comunicando o caminho do produto prazo de entrega e o produto entregue corretamente,positivo
recebi tudo certo e antes do prazo de entrega,positivo
gostei muito do que comprei e a entrega se deu bem rápida,positivo
produto de ótima qualidade atende a descrição do site,positivo
toalheiro simples mas muito bom,positivo
adorei prazo de entrega,positivo
adorei o produto,positivo
demorou muuuuito essa compra,negativo
não recebi meu produto ainda,negativo
comprei o produto paguei frete e o mesmo se encontra no correio para eu buscar um absurdo paguei o frete para receber o produto em casa,negativo
produto mto bom entrega dentro do prazo tudo dentro do previsto,positivo
secante maravilhoso de esmalte super recomendo,positivo
produto parece muito bom gostei,positivo
excelente vendedor produto excelente e preço fantástico super recomendado,positivo
produto de qualidade e entregue antes do prazo recomendo,positivo
beleza conforme anúncio,positivo
meus parabens recebi o produto em hrs e o prazo era de dias uteis meu filho ficou muito feliz,positivo
não gostei faltou mercadoria,negativo
preciso de uma posição sobre o produto ou quero que me devolveram o dinheiro pois já foi efetuado o pagamento via cartão,negativo
vcs são o único site de compras de não me deu dor de cabeça por isso estou sempre comprando com vocês,positivo
recebi rapidamente antes do que esperava,positivo
e o que eu esperava,positivo
não usei está embalado quando precisar doi minha satisfação,neutro
boa noite empresa stark recebi essa semana o produto solicitado em ótimo estado obrigado atenciosamente jeferson g,positivo
bom produto bem embalado e entregue no prazo e sem danos,positivo
rápida entrega produto muito lindo,positivo
adorei recomendo chegou antes do esperado fiquei muito feliz e vou comprar pra revender super indico parabéns e muito obrigada,positivo
o produto vei errado nao esta de acordo com a descriçao de venda e nao consigo falar no numero de sac para reclamaçao e troca do produto,negativo
è o terceiro cubo que eu compro da targaryen via stark e todos os três chegaram como deviam bem antes do prazo,positivo
produto conforme o anúncio é entrega muito rápida,positivo
o site é muito difícil de usar não atualiza fica dando problema toda hora nada funcional e o copo tive problemas quanto ao meu frete grátis cancelei para tentar o prime e não deu certo,neutro
olha super afiado eu gostei muito recomendo,positivo
esse produto não tive problema foi entregue oque realmente eu comprei,positivo
gostei muito de comprar q chegou antes do prazo que foi dado,positivo
entrega bem rápida,positivo
baratheon e uma das melhores lojas,positivo
transformador muito fraco nao serve p geladeiras não aguenta,negativo
entrga depois do prazo,negativo
produto veio sem cabo usb e fonte a caixa de dentro veio danificada e principalmente parece não ser original aguardando por uma solução,negativo
comprei um coisa e recebi outra já enviei e mail e até agora ninguém entrou em contato comigo,negativo
nunca tive problemas em receber encomendas a primeira vez que acontece de não receber a encomenda,neutro
eu gostei de comprar na loja o produto não demorou foi entregue no prazo e consegui acompanhar todo o processo depois da compra como emissão da nota e podia até rastrear onde o produto estava,positivo
ótima compra torneira dentro das expectativas,positivo
recomendo a loja,positivo
entregue dentro do prazo ótima qualidade,positivo
produto bom recomendo,positivo
produto bom pelo preço,positivo
não sei porque recebi um email do stark que fazia referência a imprevisto durante a entrega do pedido o produto chegou conforme anunciado não houve imprevisto algum,positivo
produto com medida menor do que a informada no site,negativo
sempre compro no stark e nunca me arrependo entrega no prazo e produtos maravilhosos,positivo
pedi troca do produto e não fui atendido,negativo
produto muito bom,positivo
tudo dentro do prazo parabens,positivo
o lustre é muito bonito bem acabado pintura delicada eu recomendo,positivo
alguns produtos vc compra e não tem como o silicone de esteira,negativo
produto excelente loja nota mil,positivo
já tive desse mesmo perfume e ele não tem uma fixação ótima porem esse comprado com vocês não fixa bem e eu estou completamente insatisfeita,negativo
comprei o produto com um kit com e me foi entregue somente um frasco,negativo
ainda estou aguardando pelo produto,negativo
a forma de pagamento super fácil e o produto chegou bem antes da data prevista fiquei muito satisfeita com o serviço prestado,positivo
a entrega encontra se no prazo constaria que entrega se antes pois necessitaria do produto antes do prazo determinado,negativo
produto muito bom chegou antes do prazo e ficou certinho na cama da minha filha super recomendo,positivo
estou muito satisfeita,positivo
produto de boa qualidade prazo cumprido excelente,positivo
relogios falsificado não gostei,negativo
adorei os produtos chegaram bem antes do prazo menos de uma semana tudo bem embalado o entregador chamou alto o q possibilita de ouvir e atender mto bom recomendo muito,positivo
rapida entrega e custo beneficio,positivo
o relógio mau teve contato com a água e já parou,negativo
a imagem do produto estava incluso o aparador mas veio apenas a máquina com as demais peças sem o aparador,negativo
produto atendeu as expectativas,positivo
eu comprei vários produtos e até agora tenho recebido td certinho até antes do prazo,negativo
antes do produto voltar para o emitente deveriam entrar em contato com o remetente primeiro pois assim evitaria muito transtornos,negativo
produto muito bom e foi entregue bem antes do prazo previsto,positivo
pedi a bicicleta do spider man e veio a do capitão américa,negativo
faltou as travas vermelha que prende os fios e mostra na imagem do kit mais resolveu meu problema só não veio tudo que estava no kit,positivo
fiz a compra de unidades do produto porém apenas foi entregue a empresa indicou que fez da entrega ainda aguardo o recebimento,negativo
não recebi mercadoria,negativo
o produto foi exatamente o que eu solicitei e ainda me enviaram uma fita métrica e um lápis para marcação show obrigada super indico,positivo
excelente qualidade adorei e recomendo,positivo
veio no prazo,positivo
o produto chegou bem antes do prazo conteúdo correto pode confiar,positivo
recebi antes do prazo e relógio é lindo,positivo
falta saber se encaixa pq recebi hoje na emrpesa,positivo
as malas vieram com rebites todos soltos tive que gastar para arrumar as malas não recomendo,negativo
recebi meu produto antes do prazo fiquei contente pois era o presente da minha esposa para o dia dos namorados e hoje certo q farei mais negócios com essa conceituada empresa obrigado,positivo
carteira maior do que as grandes normal muito feia perdido,negativo
não recebi o produto o ptoduto em que eu vi na loja era uma coisa e nao chegou e eu tinha colocado todos os dados corretor ja verifiquei na agencia dos correios e nao estava quero meu reembolso no ma,negativo
muito bom chegou rapido a mercadoria bem antes do prazo estipulado a única coisa é que faltou a chave de ajustar as rodas não veio na caixa deve ter caido no caminho caixa estava pouco rasgada,positivo
comprei o telefone com o prazo de entrega para três dias úteis que daria dia e até agora nem sinal do produto stark precisa repensar esses parceiros com quem anda trabalhando,negativo
apenas recebi cadeiras e comprei gostaria de saber como faço para receber a terceira,neutro
comprei um produto de reais e chegou um produto diferente de reais,negativo
eu recomendo este produto porque atendeu a minha necessidade e tem boa qualidade,positivo
o único problema foi que me cobraram um frete absurdo para não entregarem na minha residência,negativo
esta demorando muito,negativo
produto entregue no prazo e corretamente recomendo muitoo,positivo
recebi o produto todo quebrado em cacos mesmo uma falta de respeito muito grande até agora não consegui efetuar a troca,negativo
gostei do serviço,positivo
me parece ser muito bao,positivo
recebi antes dá data combinada,positivo
boneco de ótima qualidade entrega muito rápida também,positivo
tudo certo com a entrega e o produto é de boa qualidade,positivo
adorei o produto e a rapidez na entrega super recomendo,positivo
obs tenho um outro produto que comprei com vcs é vai fazer um mês que recebe o produto com defeito e até hoje não fizeram a troca do produto,negativo
chegou antes do prazo e o produto veio correto e muito bem acondicionado,positivo
produto perfeito e original,positivo
não recebi o produto que pedi comprei luminárias e recebi apenas estou super insatisfeita,negativo
muito atrasado e não recebi uma mensagem de nada,negativo
comprei itens um rosa e outro preto mas recebi os pretos,negativo
ainda não recebi o produto é nenhuma satisfação do vendedor,negativo
solicitarei reembolso do dinheito,negativo
muito bom o produto recomendo,positivo
achei ótima a entrega muito lindo o chaveiro obrigada à vocês,positivo
compra sem embaraço e atropelos recomendo a tds,positivo
gostei de comprar nas lannister os tramites no app atualizam dentro dos prazos o produto chegou bem antes do prazo estimado recomendo comprar na loja virtual bem seguro,positivo
entrega rápida e eficiente produto de qualidade,positivo
o produto chegou no prazo mas estou na dúvida do produto pois não veio nenhum logotipo da sony,neutro
ótimo lugar para fazer compras rápidas e seguras informações bem claras recomendado,positivo
primeiro marcaram uma data e nao cumpriram depois disseram ter dificuldade na entrega quando recebemos pelo menos encomendas por dia,negativo
excelente compra vendedor excelente entrega dentro do prazo estou muito satisfeito e recomendo,positivo
amei os produtos foram entregues antes do prazo,positivo
produto de acordo com a descrição,positivo
achei maravilhoso até pedi mais dois pois mesmo vindo com uma lâmina de reposicao achei tão bom que preferi me garantir com mais dois recomendo eu gostei e resolve mesmo,positivo
recebi a encomenda muito bem embalada e em perfeitas condições,positivo
cumpriu prazo de entrega e entregou o que prometeu,positivo
rapidez e qualidade,positivo
entrega feita em menos de uma semana produto ótimo muito bom,positivo
produto conforme solicitado,positivo
so de não precisar torcer pano otimo,neutro
chegou antes do prazo piscina muito bonita superou as expectativas,positivo
o produto chegou após o prazo estipulado que já era grande porém o produto chegou em boas condições como o especificado,neutro
produto lindo de excelente qualidade,positivo
sempre comprei na lannister e não tive problemas mas dessa vez não recebi o produto,negativo
vale a pena,positivo
chegou antes do prazo e o produto e muito bom,positivo
produto de qualidade,positivo
vendedor e produto excelentes,positivo
muito satisfeita com a compra e entrega,positivo
produto de ótima qualidade,positivo
demora excessiva na entregua,negativo
entrega foi feita bem antes do prazo produto maravilhoso,positivo
recebi o produto dentro do prazo recomendo,positivo
recomendo para outros,positivo
o produto e bom de mais,positivo
os outros produtos a loja ofereceu mas não cumpriu com a entrega,negativo
o produto demorou muito p chegar,negativo
recebi o produto no prazo e o material de qualidade ficou muito bonita na cozinha eu recomendo para outros clientes,positivo
muito bom e seguro,positivo
nunca recebi meu produto,negativo
bom produto somente acho que a carenagem do carro é fina mas o produto em si é bom e super rápido,positivo
demorar na integra,negativo
produto de boa qualidade,positivo
produto chegou tudo ok produto excelente,positivo
realizei a compra a mais de um mês e ate agora não chegou,negativo
fiz a compra de controles remotos da samsung e me entregaram controles falsos não recomendo pra ninguém propaganda enganosa,negativo
receber com atraso é sempre ruim o produto deveria ser entregue até e até o momento não foi,negativo
comprei produtos e só foi entregue achei que o correio tivesse perdido meu pedido porém me mostraram que apenas um foi postado no código que consta no site,negativo
frete alto demais,neutro
gostei de comprar com vcs,positivo
chegou certo o produto no prazo super recomendo é bonito funcional prático,positivo
qualidade do produto deixa a desejar,positivo
correto e rápido,positivo
produto veio certinho e no prazo,positivo
entrega super rápida e o produto é ótimo,positivo
a bolsa veio com a costura torta no ziper e nesta costura por estar torta não foi costurado o ziper então está um buraco não gostei preciso ver o que devo fazer adoro o baratheon mas não produto,negativo
muito satisfeita com a minha compra,positivo
encomenda recebida com ressalvas com relação a data da entrega,negativo
tudo conforme descrição recomendo,positivo
parabéns para lannister com compra super tranquila,positivo
ótimo produto entrega rápida parabéns,positivo
produto de qualidade recomendo,positivo
a loja enviou o produto corretamente a agilidade também foi uma ótima característica podem comprar com a targaryen sem receio,positivo
super recomendo todas as compras chegam direitinho do jeito que encomendei e antes do prazo,positivo
mais uma ves parabens a lojas americana ea targaryen pelo compromiso com o criente obrigado ate a proxima,neutro
não sei ao certo se o problema esta no fornecedor ou no transportador,negativo
a cor do produto no site é diferente do produto recebido,negativo
bons produtos sao pequenos mas bons,positivo
equipe lannister recebi o produto incompleto ou seja está faltando uma mochila barbie grande lannister tive que retirar a mercadoria incompleta na lojas do correios atenciosamente,negativo
produto igual ao anunciado ótimo acabamento produto bonito sugiro melhor informação sobre o produto no lannister com como tamanho etc,positivo
achei o material muito fraquinho precisava caprichar mais,neutro
produto de qualidade e a entrega antes da previsão,positivo
sempre cumprem os prazos muito bom,positivo
nao gostei muito fruteira porque e fixada com rebite e nao comprei parafuso e ela ta desnivelada fica sambando,positivo
gostei bastante de comprar nesta loja recomendo,positivo
otimo produto e qualidade e atendimento top,positivo
não recebi o produto até agora é não falaram nada como vai ficar quando vou ter o dinheiro de volta ou o reenvio do produto porque tem quase dias da compra e continuo sem saber não recomendo,negativo
é um site com atendimento rápido e seguro parabéns sou cliente com orgulho,positivo
demora pra entregar,negativo
o produto chegou em perfeito estado até o momento demorou um pouco comparado a compras anteriores porém recomendo o baratheon e o produto abraço,positivo
comprei mas estava indisponível aí não recebi no prazo,negativo
deveriam postar os pedidos juntos como no meu caso comprei ítens do mesmo produto é foram entregues separados e em dias diferentes fato que me deixou preocupada,neutro
embora o status do meu pedido esteja como entregue não recebi nada e não consigo maiores informações,negativo
fui muito brm atendida gostei muito,positivo
caixa veio aberta,positivo
na verdade nem abri a caixa mas está escrito sombrite,positivo
recebinum email nele constava que houve um problema no transporte da minha encomenda porém quando pedi um exclarecimento simplesmente ignoraram,negativo
por se tratar de um produto de simples transporte e ter o valor do frete maior que o valor do produto e desestimulante a compra,neutro
otima aquisição recomendo as lannister,positivo
produto de boa qualidade ótimo custo benefício,positivo
eu comprei unidades mas só recebi,negativo
ainda não recebi meu pedido e o prazo expirou dia gostaria de saber o destino da minha compra vou ter procurar um profissional para resolver para mim,negativo
não chegou no prazo porém a culpa não foi do vendedor sim dos correios então tudo certo recomendo,positivo
o pedido eram dois jogos de casais e só veio um dentro do pacote além de nao entregar no prazo ainda entrega o pedido pela metade peço providencias urgentes,negativo
recebido antes do prazo recomendo com certeza,positivo
comprei o produto e até o momento não recebi e também não tive nenhuma satisfação de o que aconteceu que o valor foi debitado isso foi,negativo
fiz dois pedidos nenhum entregue e estou pagando,negativo
o prazo de entraga poderia ser menor o prazo foi cumprido o produto veio corretamente,neutro
produto entregue de forma rapida recomendo,positivo
produto chegou em perfeitas condições de uso o prazo de entrega também foi satisfatorio,positivo
o pedido chegou errado faltando um item paguei por dois retrovisores e recebi somente um aguardo solução urgente,negativo
gostei bastante do produto pretendo comprar outros no mesmo padrão,positivo
eu adquiri duas unidades do produto mas só enviaram uma porém na nfe enviada na caixa diz que foi faturado dois produtos e foi debitado no meu cartão o valor total compra como resolvo,positivo
site muito bom super recomendo,positivo
comprem mas o frete e muito caro poderia ser mais em conta ou entregue na loja de sua cidade para não pagar frete,positivo
produto entregue dentro do prazo tudo certinho super indico,positivo
um relógio bonito prático é muito fácil no manuseio obrigada,positivo
o carrinho não foi entregue só a boneca qdo bem,negativo
entrega rápida e produto em perfeito estado,positivo
comprei e só recebi já entrei em contato e estou aguardando espero não ser prejudicada,negativo
amei muito lindas e ótimo material chegou muito antes do prazo,positivo
entrega bem antes do prazo,positivo
nunca tive problemas com a loja neste ultimo pedido de itens apenas chegou estou aguardando,neutro
ótimo vendedor entrega muito antes do prazo combinado,positivo
o boné veio manchado,negativo
bom quero devolver o produto já solicitei duas devolução porém não me deram retorno até agora estou indignado com isso,negativo
entregaram do prazo,positivo
aguardo a entrega do que comprei no dia ate agora nada de produto estou aguardando todo esse tempo somente pelo atendimento da joyce do baratheon aguardo ate março,negativo
produto chegou rapidamente blend é um pouco caro mas realmente funciona to no segundo frasco e percebo bons resultados minha barba nunca foi falha mas agora cresce mais rapidamente e grossamente,positivo
produto entregue antes do prazo acordado,positivo
apesar da entrega rápida o produto é de má qualidade trata se de um relógio em relógio bússola e termômetro mas a bússola não funciona,negativo
o produto que eu adquiri é ótimo e a entrega foi bem rápida com certeza vou indicá los muito obrigado,positivo
estou muito satisfeita com a cadeira para salão de beleza ótimo produto entregue antes do prazo,positivo
entrega bem antes do prazo produto muito bem embalado muito bonito do jeito que esperava,positivo
sendo um produto de cerâmica é frágil ao desembalar já apresentava sinal de batida e trincas pedi devolução e estou aguardando contato necessário além do plástico bolha espuma na embalagem,negativo
a loja entregou no prazo direitinho mas confesso que esperava mais do produto,neutro
vale muito a pena,positivo
produto chegou antes do prazo,positivo
gostei do produto so parece com defeito mesmo com uso constante o mesmo esta atrasando muito vou entrar com uma solicitação de troca do produto,positivo
to esperando a mochila que era para ter sido entregue dia do e ate agora nada e não tive uma resposta,negativo
estou esperando meu produto depois faço a avaliaçao,positivo
boa loja eu indico ela ótimos produtos,positivo
realmente são lindos ainda não coloquei mas tenho certeza que vou gostar,positivo
paguei o frete porém não foi feita a entrega em minha residência o produto está no correio sendo que já comprei e foi entregue em minha casa o problema maior é que os produtos tem volume para retira,positivo
entrega no prazo produto muito bom pelo preço recomendo a loja e o produto,positivo
este produto não é original não foi especificado que este produto não é original e que qualidade inferior não vale o preço pago anunciado vou pedir a troca e a devolução do valor,negativo
o produto é muito bom gostei,positivo
chegaram bem rapidinho e a qualidade muito boa parabéns,positivo
recebi o produto no prazo porém a nota fiscal foi extraviada gostaria que a empresa disponibilizasse via email ou mesmo no portal lannister,neutro
não sei quem se equivocou ou se a informação foi omissa na compra o produto entregue foi da cor marrom e eu julgava ser preto,negativo
falta uma parte da compra,neutro
péssimo vendedor cancelou meu pedido sem aviso e me deixou um baita problema com a administradora do cartão pois não efetuou o cancelamento da venda agora tenho que pagar sem ter o produto,negativo
ótimo atendimento infelizmente o produto é frágil recomendo que tenha sempre um de reserva essa compra foi exatamente por esse motivo não temos no brasil nenhum porteiro que funcione sem dar problema,positivo
tudo certo estou muito satisfeito,positivo
o prazo de entrega foi de dias chegou antes do prazo mas demorou semanas entre a compra e a chegada,negativo
